idTitulo,Universidad
21176,385549913933
27908,4327107030913
3502,9722859551437
11428,1895149984782
26701,9609757362767
58195,6425934566696
84110,3717122776719
76776,2121865712779
89713,3443952060249
31901,9250211147446
5428,8643958223001
61601,1879943362500
40046,366482776818
33438,8312945124279
72097,9304510266977
85988,239458157155
64555,9545298872538
51795,2422014467429
9501,8777791600142
92723,642593869466
35331,8506625973203
86399,7159863413467
87118,4952902370874
6715,3330641321601
74265,344329588615
60793,487810164253
39859,6684073615928
71918,3114366556326
98120,2266494358899
6130,7795717834593
18691,4937207487422
14098,4383059919216
44995,5948973605050
47500,7220851562270
59533,6763367246945
8297,1218717381836
20961,8465164404416
12354,8217882455090
26419,1377329916908
16005,9164130222598
60533,754363523795
56391,5546473261158
95980,7734172502257
73040,5770663936908
47770,3775918848537
5616,4119505244363
64132,9172502100765
26867,3905878938296
97910,9254131049145
64266,4703347677836
30645,201926102214
77059,2694148629668
90392,5236686834451
80761,7736206923717
91674,4707148846552
3828,355245220007
73202,6963814783228
69432,993444770138
37896,925375434075
32702,7492247482108
33524,8166837791881
43070,1028334107536
96792,1690799707868
54448,5001963611133
36482,8383435663733
89450,2140999925951
15237,4658615111807
1029,2483493270009
67381,652969075369
45615,3702116038431
90816,8056721882251
25758,5723166702643
9086,3988855139061
68581,6180718943988
90363,7531419227933
68022,2006985374415
16299,564215594486
96479,9295068012361
42995,1422829295793
17877,7038693333400
17229,8453236651832
22256,5752255090811
16700,8807944167363
8932,876180336600
18622,7204476805545
93808,7531419227933
73963,2596071239538
76455,9585177106999
68987,4822524310964
89238,18270916354
16572,7940497130799
30869,7993383769837
40994,6489380626547
545,3664235075684
81363,3088606021492
58985,4505603910696
45732,3050647613953
82010,6071779383053
37942,5473971471734
80956,2281031249554
52993,4061778720866
14495,1657202431837
81683,964575133929
1382,7068213760589
18114,5838874282189
66529,5178352836267
58682,8388850373355
5227,7938884086228
92918,132837586616
82894,4554341144995
50225,7907434251421
18908,7863624318345
23403,3138862409462
39850,6278767690982
54933,9141270402052
60247,3924563161742
47375,3520163231446
37521,4046192918820
9118,9755939015659
62974,9732198516696
21134,8729125580105
58257,1740527130748
43079,8692529048831
26723,1169998657361
70106,1817209692919
42333,2648094435824
54707,8111594139421
98790,9362806714581
64630,278658284316
29903,7344303870358
46601,2390039913160
50300,7990461613926
90180,6041513692112
12591,2851367113936
72995,4539178611013
71087,1549334482286
50669,5638359185161
56871,7432029501638
63749,872307532470
90699,7878579787870
62378,2877854950629
48495,3944389402557
23359,6229887594980
59135,9022058281044
45499,8203769285333
630,4921156726473
79967,3720354645673
87303,1363851742040
76668,2465270836484
10342,9525461272631
96194,5190753872201
62181,4897424143496
32775,4706449216899
35850,5151449885806
66760,1363851742040
10985,4601871427690
46577,3832751613505
14567,9989331505525
59787,7602571958258
12061,125651340494
56838,3647121180864
4637,230669947959
47342,2049470853810
12522,4973671581465
29994,1961251663857
56037,7438244059986
9359,3618979203005
58716,2678303392992
10127,8388989942277
95582,3001397734310
67867,7423315807587
54157,9339999422477
91528,4362530933656
9099,6000367823769
99868,1066637332483
88808,9063037278310
31380,4046248698429
24228,2422014467429
11413,522432790969
2879,7758943158275
51692,715189401796
84898,7833382076256
41549,5386239269967
4240,1547016899608
25820,4143351561115
85566,7994079349814
13830,6542243597379
88891,3964499098576
21900,3282897632140
1416,2874283863996
13948,9201627971889
22486,9316696731259
35866,2131376570336
28286,7575927268822
72822,883075549707
86022,9909317499799
93261,5411008048575
55846,9341538567870
12975,2150792913354
66679,6925706153735
3644,8062668030622
30504,784973252193
26150,580232919271
21414,859087326896
25415,9264334642153
82445,5751342269429
37143,8247901598783
11969,91504089325
77799,588962040587
97364,7759582037301
248,495963608322
83334,5861336925209
74826,3418579585519
33896,5751573290208
88636,5151449885806
48189,9715112036163
97952,9344357602740
6705,8927515782112
19361,9631384289874
24461,3180526158305
28617,324307080418
56953,9234218712627
38391,556848364117
99914,7034117642919
84960,8234775745392
89409,3398235697376
1758,8703549429615
2376,1160479620327
13352,8332230520161
2695,3570675321882
98488,406535436214
18900,6631459239043
27716,4616890392221
2754,5596162330454
85260,9632668726178
51271,6714524326131
13392,1501432269594
7819,5398734215392
27345,1831938263522
77855,9047069137058
72860,5293743218004
89181,1485526553532
23909,7764895378293
86404,9837594151965
16291,1505624178962
34829,7839476392545
17056,7794909627457
53185,4027813722171
26579,4957238148730
93348,9926880245053
22055,7239457014012
13939,1849348565057
2611,1426115459009
22187,2461732531428
62469,7552728651747
5475,3506131420696
87997,7590326082087
50318,9585074927961
64698,8888508669054
86527,2447738087129
74039,2448691078754
28331,7912266521652
84786,4957809902315
16029,8041944914092
65832,5594849144467
35281,6749457959909
20826,417365488751
4230,5836523880449
50939,1950145928525
61354,2953426786798
56079,5988368753436
29638,3103888796254
74041,1068200213836
20675,9382390642892
43014,6131652147160
96670,7592689611839
4074,7383430467069
54742,3814152805318
1041,7636662237822
21115,9206043125493
57870,8042199397997
4443,5409594532445
46968,6759041883621
31516,6121135818831
93390,897834308995
94201,3164487055991
65550,2257213326505
57619,3443952060249
25308,1653337780740
45468,4582891937476
82363,9055913442138
672,1357703012603
38775,7292599398112
81444,8375483627080
17232,1624031425367
71829,6138116051862
69005,1859484441860
37731,5766279544370
22516,2178930893464
870,6489380626547
1739,6938853959911
33499,8615115636167
63281,8452576694356
95273,3756328197888
74544,9096935332517
16330,9303348965481
50574,470422192636
81426,8943471196572
27136,8575882678267
69009,2221472533944
2419,4228570573272
92890,3711936390099
80769,5064372577214
12752,6964153503416
71484,6480047339887
7521,9482051773619
26628,4641695421044
36097,3243451035839
28425,5018378550602
7210,4856756476103
53754,5040893768013
81436,881490311320
47161,7558721035594
60947,7051212724769
47190,5530510751277
23744,6564701918687
64869,8332230520161
15042,1602704100508
31455,6096309013110
83601,1212832298893
70025,4474675787485
23211,4944017192567
92076,2567863168275
21712,3839372865695
44804,6481977186275
5022,582595297713
30799,5358533279745
76223,100345351738
86562,5180061620902
25622,4749557415027
53507,8781801025813
78803,7084255768384
37164,1379166583210
95475,2824274157666
3480,4629175704709
79276,3583198042294
97735,1923402066047
94695,4705675199853
82459,3710124625335
97294,9521880145446
31603,7420553536216
17755,1280157864565
79824,6405072896517
50283,1351357922511
87807,998596919720
38781,1589028347199
3967,4052437887691
20271,3525226589308
5094,9440310950878
22131,6408471392429
19072,2968333185851
9154,3303494482153
67815,8245954852511
50621,8365772320161
85882,1919562048621
99271,5638359185161
36641,5980495705328
27728,9362049524034
90985,4019100177843
69627,9299926976119
98357,4269307890818
77628,6136211930636
70536,5735090358424
61549,5633245694411
27091,1043504954081
2305,4514051159566
85594,8126778634515
50939,8656847416671
8932,7436524058396
85744,6105761126172
62376,2145072413593
42060,8858429177119
72190,8625514896307
86898,6791178870522
49792,6117258486197
90288,8846293794482
22624,8861261313804
1745,3640749033330
78118,1727288811728
61248,8807944167363
11680,4630917303575
18194,195657978292
52504,2809081448490
29859,7384060487740
15630,8512367868909
11114,2891553866472
11342,1857906570065
84592,6652651614484
62410,2693503444520
92544,8027940256115
17633,6006486921567
76578,8176852428664
48833,1614147898663
72625,7396811112561
15095,8734838818612
58757,9819222240895
25371,4817547312258
59118,9542575087415
38463,3175636138443
90722,4358863056709
30678,7035009452738
85832,9196687159615
20933,1416511617365
32436,1450871507897
94076,5673130730619
70813,2877564963148
86828,558292798525
62532,2786071703099
58491,2663257785543
64266,5447667468059
63688,6975488075445
46964,554780112831
49776,5903398541101
